,0
0,4.28350215616823e-06
1,8.3898216371686e-05
2,0.0011491047618077653
3,2.5736989020704458e-05
4,0.6225291426181528
5,1.2620253663316334e-06
6,0.08784274607785889
7,1.6910124044912314e-09
8,0.08912741776607458
9,1.1051278002602102e-05
10,2.6245184707421745e-07
11,1.9981046137284158e-07
12,0.0020101947174033723
13,1.4152207735403762e-07
14,8.512153390431689e-05
15,5.460588397194701e-07
16,2.1845697982798816e-07
17,2.001732483412147e-07
18,3.066945483640378e-08
19,8.670811701126703e-07
20,3.748429921175751e-07
21,3.6885162056440076e-08
22,1.9908001392330116e-08
23,1.4417656073937297e-06
24,1.1876811293965872e-05
25,0.024778507809810644
26,0.17229820480405217
27,2.0684559659311675e-06
28,4.169242033907081e-07
29,1.5571312470539394e-07
30,3.7640254943302213e-07
31,8.142108271636717e-06
32,1.3041589217285966e-05
33,1.6078778488423154e-07
34,2.815255567444602e-07
35,4.108143641829495e-07
36,1.1522477358227908e-05
37,5.329734734069535e-07
