CANCER_TYPE	CANCER_TYPE_DETAILED	Cancer_Type
Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Non.Small.Cell.Lung.Cancer
Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	Non.Small.Cell.Lung.Cancer
Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	Non.Small.Cell.Lung.Cancer
Non-Small Cell Lung Cancer	Large Cell Neuroendocrine Carcinoma	Non.Small.Cell.Lung.Cancer
Non-Small Cell Lung Cancer	Lung Carcinoid	Lung.Neuroendocrine.Tumor
Non-Small Cell Lung Cancer	Poorly Differentiated Non-Small Cell Lung Cancer	Non.Small.Cell.Lung.Cancer
Non-Small Cell Lung Cancer	Lung Adenosquamous Carcinoma	Non.Small.Cell.Lung.Cancer
Non-Small Cell Lung Cancer	Pleomorphic Carcinoma of the Lung	Non.Small.Cell.Lung.Cancer
Non-Small Cell Lung Cancer	Atypical Lung Carcinoid	Lung.Neuroendocrine.Tumor
Non-Small Cell Lung Cancer	Lung Neuroendocrine Tumor	Lung.Neuroendocrine.Tumor
Non-Small Cell Lung Cancer	Sarcomatoid Carcinoma of the Lung	Non.Small.Cell.Lung.Cancer
Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	Non.Small.Cell.Lung.Cancer
Non-Small Cell Lung Cancer	Ciliated Muconodular Papillary Tumor of the Lung	Non.Small.Cell.Lung.Cancer
Non-Small Cell Lung Cancer	Spindle Cell Carcinoma of the Lung	Non.Small.Cell.Lung.Cancer
Non-Small Cell Lung Cancer	Lymphoepithelioma-like Carcinoma of the Lung	Non.Small.Cell.Lung.Cancer
Non-Small Cell Lung Cancer	Basaloid Large Cell Carcinoma of the Lung	Non.Small.Cell.Lung.Cancer
Non-Small Cell Lung Cancer	Lung Adenocarcinoma In Situ	Non.Small.Cell.Lung.Cancer
Breast Cancer	Breast Invasive Ductal Carcinoma	Breast.Cancer
Breast Cancer	Invasive Breast Carcinoma	Breast.Cancer
Breast Cancer	Breast Invasive Lobular Carcinoma	Breast.Cancer
Breast Cancer	"Breast Invasive Carcinoma, NOS"	Breast.Cancer
Breast Cancer	"Breast Invasive Cancer, NOS"	Breast.Cancer
Breast Cancer	Breast Mixed Ductal and Lobular Carcinoma	Breast.Cancer
Breast Cancer	Metaplastic Breast Cancer	Breast.Cancer
Breast Cancer	Breast Invasive Mixed Mucinous Carcinoma	Breast.Cancer
Breast Cancer	Adenoid Cystic Breast Cancer	Breast.Cancer
Breast Cancer	Mixed Type Metaplastic Breast Cancer	Breast.Cancer
