,0
0,0.0
1,2.275835042874564e-06
2,0.0008191820698838176
3,3.41823717993972e-05
4,0.657145547326838
5,0.0
6,0.11628084940016847
7,0.0
8,0.0813128797072515
9,2.2500642019154206e-06
10,0.0
11,0.0
12,0.0
13,0.0
14,1.627124710597648e-05
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,8.280547858518457e-06
25,0.014567537848600206
26,0.12980604967985865
27,0.0
28,3.326909411788943e-07
29,0.0
30,0.0
31,1.1240590329247714e-07
32,0.0
33,0.0
34,0.0
35,0.0
36,4.248804546068635e-06
37,0.0
